

---
Run started.
Generation 1:		best: 0.00193981481481481,		mean: 3.97337962962963e-05
Generation 2:		best: 0.00482175925925926,		mean: 9.63700018426385e-05
Generation 3:		best: 0.00482175925925926,		mean: 0.00021561175603464
Generation 4:		best: 0.00538888888888875,		mean: 0.000321863425925925
Generation 5:		best: 0.00777777777777763,		mean: 0.00056219907407407
Generation 6:		best: 0.00904398148148126,		mean: 0.00067680555555555
Generation 7:		best: 0.0110879629629626,		mean: 0.000978576388888878
Generation 8:		best: 0.0110879629629626,		mean: 0.00117016203703703
Generation 9:		best: 0.0112939814814811,		mean: 0.00181881944444442
Generation 10:		best: 0.0112939814814811,		mean: 0.00161723379629628
Generation 11:		best: 0.0112939814814811,		mean: 0.00180182870370368
Generation 12:		best: 0.0112939814814811,		mean: 0.00195480324074071
Generation 13:		best: 0.0113495370370367,		mean: 0.00209237268518516
Generation 14:		best: 0.0132361111111107,		mean: 0.00235476851851848
Generation 15:		best: 0.0132361111111107,		mean: 0.0025382407407407
Generation 16:		best: 0.0144583333333328,		mean: 0.00279854166666662
Generation 17:		best: 0.0144583333333328,		mean: 0.00315437499999994
Generation 18:		best: 0.0144583333333328,		mean: 0.00315197916666661
Generation 19:		best: 0.0174143518518513,		mean: 0.00318307870370364
Generation 20:		best: 0.0174143518518513,		mean: 0.00314486111111105
Generation 21:		best: 0.0181342592592591,		mean: 0.00340848379629623
Generation 22:		best: 0.0238495370370377,		mean: 0.00378445601851844
Generation 23:		best: 0.0238495370370377,		mean: 0.00360042824074068
Generation 24:		best: 0.0238495370370377,		mean: 0.00339233796296292
Generation 25:		best: 0.0238495370370377,		mean: 0.00382474537037031
Generation 26:		best: 0.0296967592592613,		mean: 0.00410545138888885
Generation 27:		best: 0.0296967592592613,		mean: 0.00442770833333328
Generation 28:		best: 0.0296967592592613,		mean: 0.00557328703703704
Generation 29:		best: 0.0296967592592613,		mean: 0.00607550925925926
Generation 30:		best: 0.0296967592592613,		mean: 0.00652685185185186
Generation 31:		best: 0.0296967592592613,		mean: 0.00686420138888887
Generation 32:		best: 0.0447870370370425,		mean: 0.00719709490740741
Generation 33:		best: 0.0494074074074139,		mean: 0.00797495370370382
Generation 34:		best: 0.0733865740740834,		mean: 0.00877863425925945
Generation 35:		best: 0.0733865740740834,		mean: 0.0101500598857567
Generation 36:		best: 0.0733865740740834,		mean: 0.0111908512990606
Generation 37:		best: 0.0733865740740834,		mean: 0.0119987268518523
Generation 38:		best: 0.0733865740740834,		mean: 0.0123158101851857
Generation 39:		best: 0.0733865740740834,		mean: 0.0131765856481488
Generation 40:		best: 0.0774166666666723,		mean: 0.01436894675926
Generation 41:		best: 0.0774166666666723,		mean: 0.0129722337962968
Generation 42:		best: 0.0774166666666723,		mean: 0.0159471412037046
Generation 43:		best: 0.0774166666666723,		mean: 0.0178372719734673
Generation 44:		best: 0.0774166666666723,		mean: 0.0176153240740752
Generation 45:		best: 0.0812500000000022,		mean: 0.0185511226851863
Generation 46:		best: 0.0812500000000022,		mean: 0.0190957638888902
Generation 47:		best: 0.0812500000000022,		mean: 0.0189070254629644
Generation 48:		best: 0.0812500000000022,		mean: 0.0213240625000016
Generation 49:		best: 0.0813449074074063,		mean: 0.0240013078703723
Generation 50:		best: 0.0859398148148127,		mean: 0.0252419675925947
Generation 51:		best: 0.0859398148148127,		mean: 0.026116400462965
Generation 52:		best: 0.0859398148148127,		mean: 0.0266355092592613
Generation 53:		best: 0.0859398148148127,		mean: 0.0281444283213584
Generation 54:		best: 0.0859398148148127,		mean: 0.0244132523148166
Generation 55:		best: 0.0882685185185143,		mean: 0.0237976041666682
Generation 56:		best: 0.0882685185185143,		mean: 0.0239497685185203
Generation 57:		best: 0.0882685185185143,		mean: 0.0244157060185203
Generation 58:		best: 0.0882685185185143,		mean: 0.0254210300925948
Generation 59:		best: 0.0882685185185143,		mean: 0.0258088078703726
Generation 60:		best: 0.0882685185185143,		mean: 0.0262756481481504
Generation 61:		best: 0.0882685185185143,		mean: 0.025297470978443
Generation 62:		best: 0.0885462962962918,		mean: 0.0283573148148167
Generation 63:		best: 0.0937569444444352,		mean: 0.0288596485166779
Generation 64:		best: 0.0937569444444352,		mean: 0.0298125810185208
Generation 65:		best: 0.0937569444444352,		mean: 0.0275585648148169
Generation 66:		best: 0.0937569444444352,		mean: 0.0273949652777799
Generation 67:		best: 0.0937569444444352,		mean: 0.0298259606481505
Generation 68:		best: 0.0937569444444352,		mean: 0.0340757060185212
Generation 69:		best: 0.0937569444444352,		mean: 0.038311388888892
Generation 70:		best: 0.0937569444444352,		mean: 0.0344805439814843
Generation 71:		best: 0.0937569444444352,		mean: 0.0331515509259286
Generation 72:		best: 0.0937569444444352,		mean: 0.0329542129629658
Generation 73:		best: 0.0937569444444352,		mean: 0.0331443055555584
Generation 74:		best: 0.0937569444444352,		mean: 0.0329182175925954
Generation 75:		best: 0.0937569444444352,		mean: 0.035188237055466
Generation 76:		best: 0.0937569444444352,		mean: 0.0351595138888913
Generation 77:		best: 0.0937569444444352,		mean: 0.0361788078703731
Generation 78:		best: 0.0937569444444352,		mean: 0.0374652430555584
Generation 79:		best: 0.0937569444444352,		mean: 0.0381562962962992
Generation 80:		best: 0.0937569444444352,		mean: 0.0389520370370398
Generation 81:		best: 0.0949004629629527,		mean: 0.0390433680555581
Generation 82:		best: 0.0949004629629527,		mean: 0.0399073379629655
Generation 83:		best: 0.0949004629629527,		mean: 0.0385996296296322
Generation 84:		best: 0.0949004629629527,		mean: 0.0364060185185213
Generation 85:		best: 0.0949004629629527,		mean: 0.0376633614335755
Generation 86:		best: 0.097652777777765,		mean: 0.0376308564814838
Generation 87:		best: 0.097652777777765,		mean: 0.0340693055555574
Generation 88:		best: 0.100138888888874,		mean: 0.0344823495370388
Generation 89:		best: 0.103481481481463,		mean: 0.0337969791666686
Generation 90:		best: 0.103481481481463,		mean: 0.0320631365740757
Generation 91:		best: 0.103481481481463,		mean: 0.0342894097222242
Generation 92:		best: 0.103944444444426,		mean: 0.032569432870372
Generation 93:		best: 0.103944444444426,		mean: 0.0299453009259274
Generation 94:		best: 0.103944444444426,		mean: 0.032462534722224
Generation 95:		best: 0.121824074074039,		mean: 0.0341549884259271
Generation 96:		best: 0.121824074074039,		mean: 0.034906493055556
Generation 97:		best: 0.121824074074039,		mean: 0.0348553356481488
Generation 98:		best: 0.121824074074039,		mean: 0.0371663310185181
Generation 99:		best: 0.12323842592589,		mean: 0.0369179861111099
Generation 100:		best: 0.126527777777739,		mean: 0.0393205671296277
Run finished.


---
BEST FITNESS:		0.126527777777739		CHROMOSOME: [0.188516378, -0.273194015, -0.124357492, -0.078152895, -0.370410323, 0.0531859398, -0.407408297, -0.0717599988, -0.0966287553, 0.0904655457, -0.204555646, 0.266662002, 0.360096455, -0.352067977, 0.436444938, 0.17086482, 0.156243682, 0.231533468, -0.424521089, 0.0310412347, 0.264594793, 0.439923823, 0.327063501, 0.256835461, -0.404520154, -0.212692335, 0.23551625, 0.332017362, -0.0181464553, -0.282458484, 0.338436246, -0.255452216, -0.0656347275, 0.309847534, 0.278053641, 0.362879336, -0.210439339, -0.25686717, -0.0382325351, 0.103203654, 0.0189058185, 0.421634674, -0.106363058, -0.159861296, 0.196524382, -0.261625886, 0.0837611556, 0.312552214, 0.443527758, 0.178817153, -0.00210669637, 0.133841634, -0.161253572, -0.135044158, -0.379430294, 0.0678958893, 0.389328063, -0.084854871, 0.281801045, 0.0455101132, -0.180735171, -0.439076364, 0.22017175, -0.435874581, -0.444303364, 0.352730334, -0.146806329, -0.247574151, -0.320311785, 0.378485858, -0.142252922, -0.438520521, -0.345715731, -0.440403938, -0.383377492, -0.211180225, -0.179178417, -0.175375879, -0.35453406, -0.375711858, -0.0442586839, -0.435925633]
TIME: 3472.95228499174 seconds

